nodes,communities
realDonaldTrump,4
mitchellvii,4
thehill,3
LindaSuhler,4
HillaryClinton,2
VIralBuzzNewss,3
AnnCoulter,4
BernieSanders,3
CNN,3
FoxNews,4
nytimes,2
StylishRentals,4
politico,2
DanScavino,4
Campaign_Trump,4
wikileaks,4
Ricky_Vaughn99,4
slone,4
CNNPolitics,3
PoliticsJim,4
JaredWyand,4
immigrant4trump,4
benshapiro,5
Drudge_Report_,4
Johnatsrs1949,4
washingtonpost,2
WayneDupreeShow,4
ABC,3
amrightnow,4
LOLGOP,2
NewsBreaksLive,4
ViralBuzzes,4
NateSilver538,2
WeNeedTrump,4
davidsirota,3
SOMEXlCAN,3
KLSouth,4
dcexaminer,4
HuffingtonPost,2
NolteNC,4
Always_Trump,4
tedcruz,5
Dory,3
ShaunKing,3
Libertea2012,3
ThePatriot143,4
DRUDGE_REPORT,4
SopanDeb,2
JoyAnnReid,2
HouseCracka,4
Cernovich,4
IngrahamAngle,4
SteveDeaceShow,5
Lrihendry,4
steph93065,4
Slate,2
WesleyRickard,4
ajplus,3
PrisonPlanet,4
CrowdFundGurus,4
AP,3
ABCPolitics,2
BuzzFeedAndrew,2
USAforTrump2016,4
TeamTrumpAZ,4
foxandfriends,4
LouDobbs,4
The_Trump_Train,4
TIME,2
NBCNews,2
FiveRights,4
ggreenwald,3
NadelParis,2
Salon,3
vivelafra,4
RawStory,2
TheDailyEdge,2
seanhannity,4
RogerJStoneJr,4
WORIDSTARHIPH0P,3
WDFx2EU,4
Italians4Trump,4
HuffPostPol,2
Veteran4Trump,4
TRUMP_PREZ,4
peddoc63,5
PolitiFact,2
danmericaCNN,2
chrislhayes,2
amandacarpenter,5
BreitbartNews,4
DrJillStein,3
LandmanMarius,4
BuzzFeedNews,2
brownjenjen,1
newtgingrich,4
Rockprincess818,4
SheriffClarke,4
DiamondandSilk,4
SpecialKMB1969,4
WSJ,5
ChuckNellis,5
DLoesch,5
lexi4prez,3
MrDane1982,2
RealBPhil,5
NumbersMuncher,5
TheLastRefuge2,4
cher,2
AmyMek,4
StatesPoll,4
loudobbsnews,4
USAHipster,4
CloydRivers,4
jbarro,2
RickRWells,4
pnehlen,4
guypbenson,5
redsteeze,5
RealJamesWoods,4
MMFlint,3
